robot_id,started_to_process_item_at,finished_processing_item_at,sector,robot_started_from,delivery_station,total_distance,processing_lasted_in_seconds,battery_used_for_task,battery_after_processing_items,amount_of_items_processed
robot_2d,1716190130,1716190147,3,"{'x': 32, 'y': 47}","{'x': 49, 'y': 63}",27.65948512740269,17,16.04450987965049,83.95549012034951,1
robot_4d,1716190132,1716190154,3,"{'x': 32, 'y': 49}","{'x': 49, 'y': 63}",36.86567927809496,22,20.751037690581427,79.24896230941857,1
robot_3d,1716190131,1716190155,3,"{'x': 32, 'y': 48}","{'x': 49, 'y': 63}",40.91027268644099,24,22.80046227621714,77.19953772378287,1
robot_1c,1716190129,1716190156,2,"{'x': 32, 'y': 14}","{'x': 49, 'y': 0}",42.02082429892863,27,24.265412149464314,75.73458785053569,2
robot_1b,1716190128,1716190157,1,"{'x': 0, 'y': 46}","{'x': 17, 'y': 63}",47.03136121919768,29,27.675132796789857,72.32486720321015,2
robot_7d,1716190136,1716190158,3,"{'x': 32, 'y': 52}","{'x': 49, 'y': 63}",36.1049731745428,22,20.33906118488954,79.66093881511046,1
robot_1d,1716190128,1716190159,3,"{'x': 32, 'y': 46}","{'x': 49, 'y': 63}",52.816346879926,31,29.815665771179184,70.18433422882083,2
robot_5d,1716190133,1716190160,3,"{'x': 32, 'y': 50}","{'x': 49, 'y': 63}",45.54667801266362,27,26.010509830844438,73.98949016915557,2
robot_14d,1716190146,1716190161,3,"{'x': 46, 'y': 63}","{'x': 49, 'y': 63}",22.40175425099138,15,13.36587712549569,86.63412287450431,1
robot_6d,1716190136,1716190161,3,"{'x': 32, 'y': 51}","{'x': 49, 'y': 63}",42.58917607215591,25,24.912979217036124,75.08702078296389,2
robot_6b,1716190140,1716190162,1,"{'x': 0, 'y': 51}","{'x': 17, 'y': 63}",35.28245473015089,22,21.978310440889107,78.0216895591109,2
robot_9d,1716190141,1716190163,3,"{'x': 47, 'y': 32}","{'x': 49, 'y': 63}",37.91071328650398,22,21.34908878570419,78.6509112142958,1
robot_3d,1716190156,1716190163,3,"{'x': 49, 'y': 63}","{'x': 49, 'y': 63}",8.94427190999916,7,6.539217994324574,70.6603197294583,1
robot_6c,1716190139,1716190164,2,"{'x': 32, 'y': 19}","{'x': 49, 'y': 0}",38.34730710448744,25,22.447377866107143,77.55262213389287,2
robot_2c,1716190130,1716190165,2,"{'x': 32, 'y': 15}","{'x': 49, 'y': 0}",55.228511332845386,35,31.070462856195064,68.92953714380494,2
robot_13d,1716190146,1716190166,3,"{'x': 51, 'y': 32}","{'x': 49, 'y': 63}",34.04403824140183,20,19.290347278000887,80.7096527219991,1
robot_4b,1716190136,1716190166,1,"{'x': 0, 'y': 49}","{'x': 17, 'y': 63}",50.29486965696279,30,29.37590802165731,70.62409197834269,2
