robot_id,started_to_process_item_at,finished_processing_item_at,sector,robot_started_from,delivery_station,total_distance,processing_lasted_in_seconds,battery_used_for_task,battery_after_processing_items,amount_of_items_processed
robot_2d,1716224830,1716224846,3,"{'x': 32, 'y': 48}","{'x': 49, 'y': 63}",26.687137940129332,16,15.558336286013812,84.44166371398619,1
robot_4d,1716224832,1716224854,3,"{'x': 32, 'y': 50}","{'x': 49, 'y': 63}",37.337718932193525,22,20.98705751763071,79.01294248236928,1
robot_3d,1716224831,1716224854,3,"{'x': 32, 'y': 49}","{'x': 49, 'y': 63}",41.379288617128495,23,23.034970241560888,76.96502975843912,1
robot_1c,1716224827,1716224855,2,"{'x': 32, 'y': 15}","{'x': 49, 'y': 0}",42.43503786130172,28,24.472518930650864,75.52748106934914,2
robot_7d,1716224836,1716224855,3,"{'x': 48, 'y': 32}","{'x': 49, 'y': 63}",31.146567753335095,19,17.859858474285687,82.14014152571431,1
robot_1b,1716224827,1716224856,1,"{'x': 0, 'y': 45}","{'x': 17, 'y': 63}",46.69181926437999,29,27.50536181938101,72.49463818061898,2
robot_1d,1716224828,1716224858,3,"{'x': 32, 'y': 47}","{'x': 49, 'y': 63}",53.05879965760963,30,29.936892160021003,70.06310783997901,2
robot_5d,1716224833,1716224860,3,"{'x': 32, 'y': 51}","{'x': 49, 'y': 63}",45.22308012651831,27,25.848710887771784,74.15128911222823,2
robot_14d,1716224846,1716224860,3,"{'x': 50, 'y': 63}","{'x': 49, 'y': 63}",22.04536101718726,14,13.18768050859363,86.81231949140637,1
robot_9d,1716224840,1716224861,3,"{'x': 50, 'y': 32}","{'x': 49, 'y': 63}",35.46835395410626,21,20.127909119505333,79.87209088049467,1
robot_6b,1716224838,1716224861,1,"{'x': 0, 'y': 50}","{'x': 17, 'y': 63}",34.75459068515046,23,21.714378418388897,78.2856215816111,2
robot_8c,1716224841,1716224863,2,"{'x': 48, 'y': 0}","{'x': 49, 'y': 0}",32.758216551917656,22,19.53856046314985,80.46143953685015,2
robot_2c,1716224830,1716224864,2,"{'x': 32, 'y': 16}","{'x': 49, 'y': 0}",55.37667473891007,34,31.144544559227402,68.8554554407726,2
robot_4b,1716224834,1716224865,1,"{'x': 0, 'y': 48}","{'x': 17, 'y': 63}",50.27314079052012,31,29.365043588435974,70.63495641156402,2
robot_8d,1716224838,1716224865,3,"{'x': 49, 'y': 32}","{'x': 49, 'y': 63}",44.92596087935192,27,25.954386976957295,74.0456130230427,2
robot_10d,1716224841,1716224865,3,"{'x': 51, 'y': 32}","{'x': 49, 'y': 63}",40.46180446013101,24,23.461390841497828,76.53860915850217,2
robot_13d,1716224845,1716224866,3,"{'x': 48, 'y': 63}","{'x': 49, 'y': 63}",36.24610357068414,21,20.391379942642043,79.60862005735795,1
robot_8b,1716224843,1716224867,1,"{'x': 0, 'y': 52}","{'x': 17, 'y': 63}",37.281134589120555,24,22.782869789267853,77.21713021073215,2
robot_18d,1716224854,1716224867,3,"{'x': 63, 'y': 49}","{'x': 49, 'y': 63}",20.092635306812888,13,12.113399692731438,87.88660030726857,1
robot_3c,1716224831,1716224867,2,"{'x': 32, 'y': 17}","{'x': 49, 'y': 0}",56.723408389571844,36,31.757715558259246,68.24228444174075,2
robot_7b,1716224841,1716224868,1,"{'x': 0, 'y': 51}","{'x': 17, 'y': 63}",39.317218650859644,27,25.92945051965144,74.07054948034856,3
robot_6d,1716224835,1716224869,3,"{'x': 47, 'y': 32}","{'x': 49, 'y': 63}",59.7935491649192,34,33.51516576341776,66.48483423658223,2
robot_16d,1716224850,1716224871,3,"{'x': 63, 'y': 47}","{'x': 49, 'y': 63}",36.592173744712426,21,20.59758314098984,79.40241685901016,1
robot_6c,1716224837,1716224871,2,"{'x': 46, 'y': 0}","{'x': 49, 'y': 0}",53.37289938839277,34,29.960174008059802,70.0398259919402,2
robot_1a,1716224828,1716224872,0,"{'x': 0, 'y': 11}","{'x': 17, 'y': 0}",63.63467777983155,44,43.98677334203058,56.01322665796943,6
robot_3b,1716224832,1716224874,1,"{'x': 0, 'y': 47}","{'x': 17, 'y': 63}",73.40191907972371,42,41.384011206942596,58.61598879305741,3
robot_5b,1716224837,1716224874,1,"{'x': 0, 'y': 49}","{'x': 17, 'y': 63}",63.8924439894498,37,36.2612219947249,63.7387780052751,2
robot_3d,1716224856,1716224875,3,"{'x': 49, 'y': 63}","{'x': 49, 'y': 63}",30.463092423455635,19,17.460019404903733,58.50501035353538,1
robot_4c,1716224833,1716224876,2,"{'x': 32, 'y': 18}","{'x': 49, 'y': 0}",68.62825881744251,43,37.755292643816844,62.244707356183156,2
robot_9c,1716224844,1716224876,2,"{'x': 50, 'y': 0}","{'x': 49, 'y': 0}",50.6708395071162,32,28.680745686554737,71.31925431344527,2
robot_2b,1716224829,1716224876,1,"{'x': 0, 'y': 46}","{'x': 17, 'y': 63}",83.73718940704975,47,46.24836437056004,53.75163562943996,2
