robot_id,started_to_process_item_at,finished_processing_item_at,sector,robot_started_from,delivery_station,total_distance,processing_lasted_in_seconds,battery_used_for_task,battery_after_processing_items,amount_of_items_processed
robot_2d,1716218886,1716218903,3,"{'x': 32, 'y': 48}","{'x': 49, 'y': 63}",26.687137940129332,17,15.558336286013812,84.44166371398619,1
robot_4d,1716218888,1716218910,3,"{'x': 32, 'y': 50}","{'x': 49, 'y': 63}",37.337718932193525,22,20.98705751763071,79.01294248236928,1
robot_3d,1716218887,1716218910,3,"{'x': 32, 'y': 49}","{'x': 49, 'y': 63}",41.379288617128495,23,23.034970241560888,76.96502975843912,1
robot_7d,1716218892,1716218911,3,"{'x': 49, 'y': 32}","{'x': 49, 'y': 63}",31.270498235139236,19,17.92182371518776,82.07817628481224,1
robot_1c,1716218884,1716218911,2,"{'x': 32, 'y': 15}","{'x': 49, 'y': 0}",42.43503786130172,27,24.472518930650864,75.52748106934914,2
robot_1b,1716218884,1716218912,1,"{'x': 0, 'y': 45}","{'x': 17, 'y': 63}",46.69181926437999,28,27.50536181938101,72.49463818061898,2
robot_1d,1716218884,1716218915,3,"{'x': 32, 'y': 47}","{'x': 49, 'y': 63}",53.05879965760963,31,29.936892160021003,70.06310783997901,2
robot_13d,1716218901,1716218916,3,"{'x': 63, 'y': 48}","{'x': 49, 'y': 63}",23.971306350296537,15,14.253981332448243,85.74601866755175,1
robot_5d,1716218889,1716218918,3,"{'x': 47, 'y': 32}","{'x': 49, 'y': 63}",50.61619908369136,29,28.54527036635831,71.4547296336417,2
robot_14d,1716218903,1716218918,3,"{'x': 63, 'y': 49}","{'x': 49, 'y': 63}",25.317821063276355,15,14.823910531638177,85.17608946836182,1
robot_6b,1716218896,1716218918,1,"{'x': 0, 'y': 50}","{'x': 17, 'y': 63}",34.75459068515046,22,21.714378418388897,78.2856215816111,2
robot_8c,1716218898,1716218919,2,"{'x': 51, 'y': 0}","{'x': 49, 'y': 0}",29.842149739632685,21,18.080527057007362,81.91947294299264,2
robot_8d,1716218894,1716218920,3,"{'x': 50, 'y': 32}","{'x': 49, 'y': 63}",43.940775706254435,26,25.46179439040855,74.53820560959144,2
robot_4b,1716218891,1716218921,1,"{'x': 0, 'y': 48}","{'x': 17, 'y': 63}",50.27314079052012,30,29.365043588435974,70.63495641156402,2
robot_2c,1716218886,1716218921,2,"{'x': 32, 'y': 16}","{'x': 49, 'y': 0}",55.37667473891007,35,31.144544559227402,68.8554554407726,2
robot_8b,1716218900,1716218923,1,"{'x': 0, 'y': 52}","{'x': 17, 'y': 63}",37.281134589120555,23,22.782869789267853,77.21713021073215,2
robot_3c,1716218888,1716218924,2,"{'x': 32, 'y': 17}","{'x': 49, 'y': 0}",56.723408389571844,36,31.757715558259246,68.24228444174075,2
robot_7b,1716218897,1716218924,1,"{'x': 0, 'y': 51}","{'x': 17, 'y': 63}",39.317218650859644,27,25.92945051965144,74.07054948034856,3
robot_6d,1716218891,1716218925,3,"{'x': 48, 'y': 32}","{'x': 49, 'y': 63}",60.036054955940514,34,33.63641865892843,66.36358134107158,2
robot_9d,1716218896,1716218926,3,"{'x': 47, 'y': 63}","{'x': 49, 'y': 63}",53.1746335324859,30,28.98104890869515,71.01895109130484,1
robot_6c,1716218894,1716218928,2,"{'x': 48, 'y': 0}","{'x': 49, 'y': 0}",54.34331070062365,34,30.445379664175242,69.55462033582475,2
robot_1a,1716218884,1716218929,0,"{'x': 0, 'y': 11}","{'x': 17, 'y': 0}",63.63467777983155,45,43.98677334203058,56.01322665796943,6
robot_10d,1716218897,1716218929,3,"{'x': 48, 'y': 63}","{'x': 49, 'y': 63}",56.87427123879071,32,31.66762423082768,68.33237576917232,2
robot_3b,1716218888,1716218930,1,"{'x': 0, 'y': 47}","{'x': 17, 'y': 63}",73.40191907972371,42,41.384011206942596,58.61598879305741,3
robot_5b,1716218893,1716218930,1,"{'x': 0, 'y': 49}","{'x': 17, 'y': 63}",63.8924439894498,37,36.2612219947249,63.7387780052751,2
robot_5c,1716218893,1716218930,2,"{'x': 47, 'y': 0}","{'x': 49, 'y': 0}",60.24286088205481,37,33.562593676122994,66.43740632387701,2
robot_12d,1716218900,1716218932,3,"{'x': 51, 'y': 63}","{'x': 49, 'y': 63}",55.96464248635273,32,31.39726172952911,68.6027382704709,2
robot_4c,1716218890,1716218932,2,"{'x': 32, 'y': 18}","{'x': 49, 'y': 0}",68.62825881744251,42,37.755292643816844,62.244707356183156,2
robot_2b,1716218886,1716218933,1,"{'x': 0, 'y': 46}","{'x': 17, 'y': 63}",83.73718940704975,47,46.24836437056004,53.75163562943996,2
robot_11d,1716218900,1716218933,3,"{'x': 50, 'y': 63}","{'x': 49, 'y': 63}",61.854192994018774,33,33.38918415103187,66.61081584896813,1
robot_3d,1716218911,1716218934,3,"{'x': 49, 'y': 63}","{'x': 49, 'y': 63}",40.19950248448356,23,22.401247510875407,54.56378224756371,1
robot_9c,1716218901,1716218935,2,"{'x': 47, 'y': 31}","{'x': 49, 'y': 0}",51.97545245193026,34,30.333439044192485,69.66656095580753,3
robot_10c,1716218902,1716218935,2,"{'x': 48, 'y': 31}","{'x': 49, 'y': 0}",51.69073013655759,33,29.14083080233268,70.85916919766733,2
robot_2a,1716218890,1716218936,0,"{'x': 0, 'y': 12}","{'x': 17, 'y': 0}",69.64064033884598,46,45.12995581517718,54.87004418482282,5
robot_13d,1716218918,1716218936,3,"{'x': 49, 'y': 63}","{'x': 49, 'y': 63}",30.463092423455635,18,17.460019404903733,67.28599926264802,1
